,Cadena_Productiva
15,GANADERIADP
16,GANADERIADP
18,GANADERIADP
19,GANADERIADP
20,GANADERIADP
26,GANADERIADP
27,GANADERIADP
31,GANADERIADP
39,GANADERIADP
40,GANADERIADP
42,GANADERIADP
44,GANADERIADP
49,GANADERIADP
50,GANADERIADP
51,GANADERIADP
52,GANADERIADP
53,GANADERIADP
54,GANADERIADP
55,GANADERIADP
57,GANADERIADP
59,GANADERIADP
60,GANADERIADP
62,GANADERIADP
64,GANADERIADP
65,GANADERIADP
67,GANADERIADP
69,GANADERIADP
75,GANADERIADP
80,GANADERIADP
81,GANADERIADP
97,GANADERIADP
98,GANADERIADP
102,GANADERIADP
108,GANADERIADP
112,GANADERIADP
117,GANADERIADP
139,GANADERIADP
141,GANADERIADP
142,GANADERIADP
145,GANADERIADP
146,GANADERIADP
150,GANADERIADP
153,GANADERIADP
154,GANADERIADP
157,GANADERIADP
158,GANADERIADP
159,GANADERIADP
161,GANADERIADP
162,GANADERIADP
163,GANADERIADP
168,GANADERIADP
170,GANADERIADP
182,GANADERIADP
183,GANADERIADP
185,GANADERIADP
189,GANADERIADP
190,GANADERIADP
191,GANADERIADP
192,GANADERIADP
193,GANADERIADP
196,GANADERIADP
197,GANADERIADP
198,GANADERIADP
199,GANADERIADP
200,GANADERIADP
201,GANADERIADP
202,GANADERIADP
204,GANADERIADP
205,GANADERIADP
206,GANADERIADP
207,GANADERIADP
208,GANADERIADP
209,GANADERIADP
210,GANADERIADP
211,GANADERIADP
213,GANADERIADP
214,GANADERIADP
215,GANADERIADP
216,GANADERIADP
217,GANADERIADP
218,GANADERIADP
219,GANADERIADP
220,GANADERIADP
221,GANADERIADP
254,GANADERIADP
282,GANADERIADP
286,GANADERIADP
291,GANADERIADP
292,GANADERIADP
296,GANADERIADP
304,GANADERIADP
305,GANADERIADP
307,GANADERIADP
308,GANADERIADP
309,GANADERIADP
310,GANADERIADP
313,GANADERIADP
314,GANADERIADP
319,GANADERIADP
323,GANADERIADP
327,GANADERIADP
328,GANADERIADP
331,GANADERIADP
334,GANADERIADP
336,GANADERIADP
352,GANADERIADP
353,GANADERIADP
357,GANADERIADP
358,GANADERIADP
359,GANADERIADP
361,GANADERIADP
371,GANADERIADP
372,GANADERIADP
374,GANADERIADP
377,GANADERIADP
379,GANADERIADP
399,GANADERIADP
401,GANADERIADP
403,GANADERIADP
406,GANADERIADP
409,GANADERIADP
418,GANADERIADP
425,GANADERIADP
427,GANADERIADP
429,GANADERIADP
438,GANADERIADP
441,GANADERIADP
443,GANADERIADP
444,GANADERIADP
447,GANADERIADP
