Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
420;MAGDALENA;SANTA MARTA;TIGRERA, CORREGIMIENTO DE MINCA;;ASOPORVENIR;420;EL PORVENIR;Pequeña;Riego;0;46;46;22;Coco, Mango, Limón, Guanábana, Naranja, Aguacate, Pasto, Papaya, Plátano, Hortalizas, Frutales, Yuca, Maíz, Tomate;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada El Silencio, Tigrera y Tamacá;Rio  Piedras - Rio Manzanares;CORPAMAG;0;;;;;
421;MAGDALENA;SANTA MARTA;MAZINGA;;ASOMAZINGA;421;MAZINGA;Pequeña;Riego;0;40;40;67;Frutales, Plátano, Hortalizas, Mango, Papaya, Naranja, Tomate, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Manzanares;Rio  Piedras - Rio Manzanares;CORPAMAG;0;;;;;
422;MAGDALENA;ZONA BANANERA;ZAWADY;;ASORIOFRIO;422;RIO FRIO;Gran;Riego y Drenaje;1;6835;5672;630;Banano, Palma Africana, Pancoger, Frutales, Mango, Limón;Público ;ADR;Legalizado;Públicos ;ADR delegada;Río Frío;Cga Grande de Santa Marta;CORPAMAG;1;;;;;
423;MAGDALENA;ZONA BANANERA;PRADO SEVILLA;;ASOSEVILLA;423;SEVILLA;Gran;Riego y Drenaje;1;7100;7100;418;Banano, Palma Africana, Frutales, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Sevilla;Cga Grande de Santa Marta;CORPAMAG;1;;;;;
424;MAGDALENA;ZONA BANANERA;TUCURINCA;;ASOTUCURINCA;424;TUCURINCA;Gran;Riego y Drenaje;1;8304;8304;352;Palma Africana, Banano, Arroz, Frutales, Pastos, Pancoger, Ganadería;Público ;ADR;Legalizado;Públicos ;ADR delegada;Río Tucurinca;Cga Grande de Santa Marta;CORPAMAG;1;;;;;
425;META;ACACIAS;SAN JOSÉ;;ASOSANJOSE;425;SAN JOSÉ;Pequeña;Riego;1;64;64;32;Pastos Piscícola ,Cachama, Pargo Rojo, Carpa,, Yuca, Plátano, Naranja, Mandarina, Pan de Árbol, Frutales, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Orotoy;Rio Metica (Guamal - Humadea);CORMACARENA;1;;;;;
426;META;ACACIAS;SAN JOSÉ Y RANCHO GRANDE;;ASOJUANIA;426;SAN JUANÍA;Pequeña;Riego;1;360;360;64;Piscícola, Ganadería, Pastos, Pancoger, Frutales;Público ;ADR;Legalizado;Públicos ;ADR;Río Acacias, Río Orotoy;Rio Metica (Guamal - Humadea);CORMACARENA;1;;;;;
427;META;CUBARRAL;SAN CAYETANO;;ASOTONOA;427;BRISAS DEL TONOA;Pequeña;Riego;0;10;10;10;Piscícola, Café, Papaya, Cacao, Pastos, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Caño Pajuil;Rio Ariari;CORMACARENA;0;;;;;
428;META;CUMARAL;GUACAVIA;;ASOGUACAVIA;428;GUACAVIA;Pequeña;Riego;0;60;60;18;Piscícola, Pastos, Frutales, Habichuela;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Guacavia;Rio Guatiquia;CORMACARENA;1;;;;;
429;META;EL CALVARIO;SAN LUIS DE LADERA;;ASOLADERA;429;SAN LUIS LADERA;Pequeña;Riego;0;36;36;18;Frijol, Mora, Lulo, Maíz;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Azucena;Rio Guatiquia;CORMACARENA;1;;;;;
430;META;EL DORADO;AGUAS ZARCAS;;ASOZARCAS;430;AGUAS ZARCAS;Pequeña;Riego;1;336;336;28;Piscícola, Cítricos, Cacao, Plátano, Naranja, Aguacate, Café, Yuca, Maracuyá, Ganadería de Doble Propósito, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Caño Aguas Zarcas;Rio Ariari;CORMACARENA;1;;;;;
431;META;EL DORADO;SAN ISIDRO;;ASOSANISIDRO;431;SAN ISIDRO;Pequeña;Riego;1;180;180;22;Pastos, Papaya, Café, Cacao, Ganadería, Plátano, Cítricos, Piscicultura, Pancoger, Yuca, Maíz, Maracuyá, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Caño Leche;Rio Ariari;CORMACARENA;0;;;;;
