Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
607;NORTE DE SANTANDER;SAN CAYETANO;;;ASOLAPALMA ;607;LA PALMA ;Pequeña;Riego;0;65;65;65;Arroz, Cacao, Café, Pastos, Cítricos, Cachamas, Ganado;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Zulia;CORPONOR;0;;;;;No hay soportes del tramite de Personeria Juridica, ni estatutos.
608;NORTE DE SANTANDER;SARDINATA;;;ASOBANQUEADA;608;BANQUEADA;Pequeña;Riego;1;84;84;42;;Privado ;Asociación ;Propio;AIS - DRE 2013;Asociación de Usuarios;;;CORPONOR;;;;;;
609;NORTE DE SANTANDER;SILOS;BELÉN;;ASOBELEN;609;BELÉN;Pequeña;Riego;1;77;77;48;Fresa, Durazno, Fríjol, Tomate de Árbol, Curuba, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Pajarito;Rio Chitaga;CORPONOR;0;;;;;
610;NORTE DE SANTANDER;SILOS;;;ASOESPERANZA;610;LA ESPERANZA;Pequeña;Riego;1;45;45;60;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Carcasi ;Rio Chitaga;CORPONOR;1;;;;;
611;NORTE DE SANTANDER;SILOS;MONTEGRANDE, AGUEDINA, EL AVENTINO, LA LAGUNA;;ASOLAGUNA;611;LA LAGUNA;Pequeña;Riego;1;110;110;169;Papa, Zanahoria, Fresa, Hortalizas, Cebolla Junca, Habas, Cebolla, Fríjol, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río La Plata;Rio Chitaga;CORPONOR;1;;;;;Programa Servicios Complementarios 2013.
612;NORTE DE SANTANDER;SILOS;;;ASOLEUTA;612;LEUTA;Pequeña;Riego;1;160;160;83;;Privado ;Asociación ;Propio;AIS 2008 II;Asociación de Usuarios;;Rio Chitaga;CORPONOR;0;;;;;Estatutos actualizados.
613;NORTE DE SANTANDER;SILOS;PACHACUAL, AGUEDINA, BATA;;ASOPACHACUAL;613;PACHACUAL ;Pequeña;Riego;1;72;72;58;;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Las Almas;Rio Chitaga;CORPONOR;1;;;;;Programa Servicios Complementarios 2014.
614;NORTE DE SANTANDER;SILOS;PALOMAR;;ASOPALOMAR;614;PALOMAR;Pequeña;Riego;1;25;25;25;Curuba, Papa, Tomate, Durazno, Lulo, Fresa, Breva, Ciruela, Trigo, Pastos, Tomate de Árbol, Pastos, Fríjol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Salado Chiquito, Quebrada Cherqueta;Rio Chitaga;CORPONOR;1;;;;;Programa Servicios Complementarios 2013.
615;NORTE DE SANTANDER;SILOS;RANCHADERO;;ASORANCHADERO;615;RANCHADERO;Pequeña;Riego;1;50;50;25;Papa, Haba, Cebolla, Curuba, Tomate, Hortalizas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Las Nieves;Rio Chitaga;CORPONOR;0;;;;;
616;NORTE DE SANTANDER;SILOS;TUTEPA, MIRACIELO;;TUTEPA;616;TUTEPA;Pequeña;Riego;1;59;59;82;Fresa, Durazno, Tomate de Árbol, Alverja, Maíz, Papa, Apio, Haba, Curuba, Frijol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Miracielo;Rio Chitaga;CORPONOR;0;;;;;Programa Servicios Complementarios 2014.
617;NORTE DE SANTANDER;TOLEDO;;;ASOELCEDRAL;617;EL CEDRAL;Pequeña;Riego;0;129;129;135;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Margua;CORPONOR;0;;;;;
618;NORTE DE SANTANDER;TOLEDO;HATO GRANDE;;ASOHATOGRANDE;618;HATO GRANDE;Pequeña;Riego;1;120;120;95;Maíz, Café, Caña, Cítricos, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Las Lajas;Rio Chitaga;CORPONOR;0;;;;;
619;NORTE DE SANTANDER;TOLEDO;;;ASOHATOS;619;HATOS;Pequeña;Riego;1;180;180;180;;Privado ;Asociación ;Propio;AIS 2009;Asociación de Usuarios;Quebrada la Samaria;Rio Margua;CORPONOR;1;;;;;Estatutos actualizados.
620;NORTE DE SANTANDER;TOLEDO;;;ASOTOLEDITO;620;TOLEDITO ;Pequeña;Riego;1;78;78;41;Maíz, Caña, Café, Durazno, Mora, Caña, Hortalizas, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Legia;Rio Chitaga;CORPONOR;0;;;;;
621;NORTE DE SANTANDER;VILLA CARO;;;ASOAGUAMIEL;621;AGUAMIEL;Pequeña;Riego;1;75;75;50;;Privado ;Asociación ;Propio;AIS - DRE 2013;Asociación de Usuarios;;;CORPONOR;;;;;;
622;NORTE DE SANTANDER;VILLA DEL ROSARIO;;;ASOJUANFRIO;622;JUAN FRIO;Pequeña;Riego;1;80;80;157;;Privado ;Asociación ;Propio;AIS 2007;Asociación de Usuarios;Río Táchira;Rio Pamplonita;CORPONOR;1;;;;;Estatutos actualizados.
623;NORTE DE SANTANDER;VILLACARO;LOS CORAZONES;;ASOCORAZONES;623;CORAZONES;Pequeña;Riego;0;41;36;31;;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;;Rio Nuevo Presidente - Tres Bocas (Sardinata, Tibu);CORPONOR;0;;;;;
624;PUTUMAYO;COLÓN;"MUNICIPIO SAN FRANCISCO: San Javier, Chinayaco, La Argentina, San Antonio del Porotoyaco, San José del Chunga Parte Alta, Balsayaco Parte Alta, Tarabita, Central San Antonio, San Silvestre, La Menta, La Argentina, Bajo San José, San Agustín, Las Cochas, Bajo Balsayaco. 
MUNICIPIO DE SANTIAGO: Lay San Andrés, Tarabaita, Chaguar Sindamanoy, Wilkipamba, Urapamba, Machoy, Tonjoy, Las Cruces, Tamauca Viejo Margen Derecha Del Cauce Antiguo Del Rio Tamauca- Balsayaco Sector Santiago.
MUNICIPIO DE COLO: Playa Carmelo, Michoacan Bajo, Cochas-Josefina Villa Rosa, Vichoy San Pedro, Palmas Colon 2D. MUNICIPIO DE SIBUNDOY: El Ejido, Cabuyayaco, Leandro Agred, Llano Grande, El Ejido Palmas, Las Palmas, Tamabioy, San Félix, Las Cochas, Villa Nueva, Carrizayaco, Fátima, Vegas Fátima, Palmas Altas, Machindinoy, Cedro 2, Versalles, Cedro 1, Cedro San Pedro, Sagrado Corazón de Jesús.
";;ASOVALLE DE SIBUNDOY;624;VALLE DE SIBUNDOY;Gran;Drenaje;1;8500;8500;2915;Pastos, Frijol, Maíz, Manzana, Papa, Hortalizas, Lulo, Frutales, Granadilla, Mora, Lulo, trucha;Público ;ADR;Legalizado;Públicos ;ADR;;Alto Rio Putumayo;CORPOAMAZONIA;0;;;;;"El distrito es administrado por el INCODER. La Junta Directiva esta vigente y reconocida por el INCODER y los estatutos estan desactualizados; Programa Servicios Complementarios 2013."
625;QUINDÍO;FILANDIA;LA JULIA, LA CASTALIA, LA INDIA;;ASOJULIA;625;LA JULIA;Pequeña;Riego;1;50;50;45;Tomate, flores (Anturios, Crisantemos, Gérberas), lechugas, porcicultura y piscicultura. ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Pencil;Rio La Vieja;CRQ;1;;;;;"Estatutos desactualizados; Programa Servicios Complementarios 2013."
626;RISARALDA;APIA;CAMPANA ALTA, SAN RAFAEL, BUENAVISTA;;CARAVI;626;CARAVI;Pequeña;Riego;1;74;74;74;Tomate, Mora, Aguacate, Tomate de Árbol, Granadilla, Lulo, Café, Pimentón, Cebolla, Fríjol, Pastos, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Risaralda;Rio Risaralda;CARDER;1;;;;;"Estatutos desactualizados; Programa Servicios Complementarios 2013."
627;RISARALDA;BELÉN DE UMBRIA;LA FRISOLERA ALTA Y BAJA;;ASOFRISOLERA;627;LA FRISOLERA;Pequeña;Riego;0;34;34;87;Café, Maíz, Mora, Plátano, Fríjol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Mirador;Rio Risaralda;CARDER;0;;;;;Programa Servicios Complementarios 2014. Acueducto Veredal. No continuar con el Programa.
628;RISARALDA;GUATICA;LA GUAJIRA;;ASOGUAJIRA;628;LA GUAJIRA;Pequeña;Riego;0;34;34;22;Alverja, Mora, Lulo, Fríjol, Tomate de Árbol, Hortalizas, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Chorros;Rio Frio y Otros Directos al Cauca;CARDER;0;;;;;Programa Servicios Complementarios 2014. No Continuar con el Programa.
629;RISARALDA;GUATICA;LAS LOMAS, OSPIRMA Y OSPIRMA BAJO;;ASOSPIRMA;629;LAS LOMAS, OSPIRMA Y OSPIRMA BAJO;Pequeña;Riego;0;100;100;66;Cebolla Junca, Cilantro, Tomate, Lechuga, Granadilla, Pimentón, Café, Plátano, Mora, Habichuela, Hortalizas, Frutas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Río Frío, Quebrada La Suiza;Rio Risaralda;CARDER;1;;;;;Programa Servicios Complementarios 2013.
630;RISARALDA;PEREIRA;VISTA HERMOSA, LA COLONIA, EL RINCÓN, LA BELLA;;ASOLABELLA;630;LA BELLA;Pequeña;Riego;1;95;95;75;Cebolla Larga, Cilantro, Fresa, Habichuela, Tomate de Árbol, Granadilla, Mora, Lulo, Hortalizas, Flores, Pastos, Aguacate Hass, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Consota;Rio Otun y otros directos al Cauca;CARDER;1;;;;;Programa Servicios Complementarios 2013.
631;RISARALDA;PEREIRA;LA PALMA, NARANJAL, BETANIA;;ASOLAPALMA;631;LA PALMA;Pequeña;Riego;0;55;55;50;Mora y Tomate de Árbol, Pastos;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio La Vieja;CARDER;0;;;;;Programa Servicios Complementarios 2013. Segun Informacion del Programa Servicios Complementarios 2013, el Distritos dejo de funcionar hace 20 Anos.
632;RISARALDA;QUINCHIA;EL CEIBAL, LA PERLA, LLANADAS;;ASOCAÑON DE OPIRAMA;632;CAÑÓN DE OPIRAMA;Pequeña;Riego;1;60;60;22;Cacao, Café, Caña Panelera, Frutales, Yuca, Fríjol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Piedras;Rio Frio y Otros Directos al Cauca;CARDER;1;;;;;Programa Servicios Complementarios 2014.
633;RISARALDA;SANTA ROSA DE CABAL;LIBARE, LA LAGUNA, PORVENIR, SAN JOSÉ, LA BANANERA, LA SUIZA, EL BOSQUE, PLAN DE MANZANO, MANZANO ALTO, LA FLORIDA, CEDRALITO, LA MARÍA;;ASOFLORIDA;633;CUENCA MEDIA DEL RÍO OTÚN;Pequeña;Riego;0;78;78;32;Cebolla Larga, Cilantro, Habichuela, Arveja, Tomate, Aguacate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Otun y otros directos al Cauca;CARDER;0;;;;;Tramite de Personeria Juridica ante el INCODER. Pendiente Concepto del Ministerio de los Modelos de Estatutos , Programa Servicios Complementarios 2013.
634;SANTANDER;BARBOSA;PEÑABLANCA Y POZO NEGRO ;;APEBLAPON;634;ACO PEÑABLANCA Y POZO NEGRO ;Pequeña;Riego;0;110;110;230;Tomate, Guayaba, Pastos;Público ;ADR;Legalizado;Públicos ;ADR;;Rio Suarez;CAS;1;;;;;"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Estatutos actualizados. POZO PROFUNDO, NO FUNCIONA, No esta en operacion. La infraestructura existente en el distrito comprende: motobombas electricas, tanques de almacenamiento y de reparto lo mismo que tuberia de diferentes diametros y calibres. La infraestructura de conduccion comprende motobombas electricas, tanques de almacenamiento y de reparto, al igual que tuberia de diferentes diametros y calibres."
635;SANTANDER;BARICHARA;BUTAREGUA;;ASURIBUTAREGUA;635;BUTAREGUA;Pequeña;Riego;0;84;84;70;Fríjol, Maíz, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Nacimiento;Rio Suarez;CAS;0;;;;;
636;SANTANDER;BARRANCABERMEJA;;;ASURIGALA;636;CAMPO GALA;Pequeña;Riego;0;56;56;28;Patilla, Sorgo, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Ciénaga Guadalito;Rio Sogamoso;CAS;0;;;;;
637;SANTANDER;BOLÍVAR;PLAN DE ROJAS;;ASURIPLANBOLISAN;637;PLAN DE ROJAS;Pequeña;Riego;0;55;55;48;Curuba, Fríjol, Maíz, Papa, Mora, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Diamante;Rio Suarez;CAS;0;;;;;
638;SANTANDER;CARCASI;MONTONERA, SAUCARA;;ASOSAUCARA;638;MONTONERA SAUCARA;Pequeña;Riego;0;92;92;46;Fríjol, Maíz, Trigo, Tabaco, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Supari;Rio Chicamocha;CAS;0;;;;;
639;SANTANDER;CARCASI;PETEQUERA, ASTILLAL;;ASURIPAS;639;PETAQUERA ASTILLAL;Pequeña;Riego;1;67.7;67.7;47;Papa, Frijol, Pastos, Maíz, Trigo, Haba, Alverja;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Petaquera;Rio Chicamocha;CAS;1;;;;;"Concesion de Aguas Vigente por 5 Anos; Programa Servicios Complementarios 2013 - Informe Final."
640;SANTANDER;CARCASI;VICTARIGUA SECTOR CRUZ GRANDE Y RINCONADA;;ASURILVICTA;640;VICTARIGUA;Pequeña;Riego;1;43;43;43;Maíz, Arveja, Papa, Frijol, Pastos, Trigo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Bosque;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2013 - Informe Final.
641;SANTANDER;CERRITO; EL BANCO, HUMALA;;ASURIPARBANC;641; EL BANCO - HUMALA;Pequeña;Riego;1;60;60;27;Papa, Ajo, Zanahoria, Trigo, Cebada, Frutales, Habas, Cebolla, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Humedal La Piñuela, Quebrada Aguablanca;Rio Chicamocha;CAS;0;;;;;Programa Servicios Complementarios 2014.
642;SANTANDER;CERRITO;PLATERA ALTA SECTOR SIBERIA;;ASURICARBONERA;642;CARBONERA;Pequeña;Riego;1;84;84;42;Papa, Ajo, Cebada, Trigo, Avena, Pastos;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Humedal La Carbonera, Paramo del Almorzadero;Rio Chicamocha;CAS;0;;;;;Personeria Juridica en Tramitea ante el Incoder, Programa Servicios Complementarios 2014. Numero de Familias tomado de documentos 2015.
643;SANTANDER;CERRITO;TULI - SECTOR HATICO;;ASURATICO;643;HATICO;Pequeña;Riego;1;80;80;44;Ajo, Cebolla, Papa, Pastos, Uchuva, Fresa, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Tulí Según SC Quebrada Las Trazas;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2014.
644;SANTANDER;CERRITO;LA PLATERA ALTA;;LA PLATERA;644;PLATERA;Pequeña;Riego;1;41;41;41;Ajo, Papa, Zanahoria, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Carbonera;Rio Chicamocha;CAS;0;;;;;Programa Servicios Complementarios 2014. Excluido por ser acueducto Veredal .
645;SANTANDER;CERRITO;TINAGA;;ASOTINAGA;645;TINAGA;Pequeña;Riego;1;32;32;32;Papa, Ajo, Pastos, Maíz, Alverja, Zanahoria, Fríjol, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Blanquiscal;Rio Chicamocha;CAS;1;;;;;Suspendido la Consecion de Aguas el 11 de Agosto de 2010, Programa Servicios Complementarios 2013 - Informe Final.
646;SANTANDER;CONCEPCIÓN;BOMBONA;;ASOSARILBOPAL;646;BOMBONA - PALACE;Pequeña;Riego;1;110;110;93;Fríjol, Hortalizas, Maíz, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Manaria;Rio Chicamocha;CAS;0;;;;;
647;SANTANDER;CONCEPCIÓN;JUNIN;;ASURIJUNIN;647;JUNIN;Pequeña;Riego;1;89;89;90;Cebada, Trigo, Papa, Maíz, Fríjol, Pastos, Durazno, Curuba, Frutales;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Jaimito;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2013 - Informe Final.
648;SANTANDER;CONTRATACIÓN;JOSÉ ANTONIO GALÁN;;ASURIGACION;648;JOSÉ ANTONIO GALÁN;Pequeña;Riego;1;68;68;46;Cítricos, Fríjol, Maíz;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Balconera;Rio Suarez;CAS;0;;;;;
649;SANTANDER;EL PALMAR;OROCO CENTRO;;ASUROPAL;649;LA CEIBA - LA SABANA;Pequeña;Riego;1;55;55;26;Cítrico, Ahuyama, Maracuyá, Millo, Papaya, Pastos;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Chirigua;;CAS;1;;;;;
650;SANTANDER;ENCISO;AGUA SUCIA Y QUEBRADA DE VERA;;ASO AGUA SUCIA;650;AGUA SUCIA;Pequeña;Riego;0;38;38;33;Fríjol, Maíz, Tabaco;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Sonadora;Rio Chicamocha;CAS;0;;;;;Personeria Juridica en Tramite.
651;SANTANDER;ENCISO;COCHAGA;;ASURICOCHAGA;651;COCHAGA ROBLES;Pequeña;Riego;1;42;42;42;Maíz, Frijol, Curuba, Tomate de Árbol, Mora, Uchuva, Pastos, Ajo, Hortalizas, Papa, Frutales, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Barrueto;Rio Chicamocha;CAS;1;;;;;La concesion de aguas tiene vigencia hasta marzo de 2014. La personeria juridica se encuentra en tramite ante el INCODER (Estudio de Documentos), Programa Servicios Complementarios 2013 - Informe Final.
652;SANTANDER;ENCISO;LOMA DEL NEGRO, PUERTAS MAYORÍA, AGUABLANCA, NARANJAL, SANTA ROSA;;ASURIENCISO;652;"ENCISO
AGUA BLANCA-SUCIA";Pequeña;Riego;1;51.8;51.8;98;Tabaco, Maíz, Frijol, Pastos, Frutales, Hortalizas, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Sonadora;Rio Chicamocha;CAS;1;;;;;"La Junta Directiva esta en tramite en el INCODER para ser viabilizada; Programa Servicios Complementarios 2013 - Informe Final."
653;SANTANDER;ENCISO;;;ASURIPLAN;653;PLAN DE LLANO;Pequeña;Riego;1;86;86;43;Fríjol, Maíz, Tabaco, Frutales, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Servita;Rio Chicamocha;CAS;0;;;;;
654;SANTANDER;GALÁN;LA AGUADA, EL CUCHARO;;ASURIAGUADA;654;AGUADA - EL CUCHARO;Pequeña;Riego;1;100;100;31;Pastos, Maíz, Millo, Frútales, Moringa, Ganadería ;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Vigueche;Rio Suarez;CAS;1;;;;;"Personeria juridica en tramite ante el INCODER; Programa Servicios Complementarios 2013 - Informe Final."
655;SANTANDER;GALÁN;PEÑA GRANDE;;ASURIPEGA;655;PEÑA GRANDE;Pequeña;Riego;1;76;76;38;Maíz, Cítricos, Ahuyama, Cacao, Pastos, Tomate, Tabaco, Maracuyá, Papaya, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Chirigua;Rio Suarez;CAS;1;;;;;Programa Servicios Complementarios 2013 - Informe Final.
656;SANTANDER;GIRÓN;LLANO GRANDE;;ASURILLANOGRANDE;656;LLANO GRANDE;Pequeña;Riego;1;65;65;25;Maíz, Maracuyá, Tabaco, Cítricos, Ají, Lechosa;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río de Oro;Rio Sogamoso;CDMB;0;;;;;
657;SANTANDER;GUACA;CÁMARAS, AMARILLAS;;ASURDINCA ;657;CÁMARAS - AMARILLAS;Pequeña;Riego;1;81;81;73;Fríjol, Maíz, Papa, Cebolla, Pastos, Alverja, Tomate de Árbol, Lulo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Bebedero;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2014.
658;SANTANDER;GUACA;ORTIGAL Y VARIA;;ASORTIVARIA;658;ORTIGAL Y VARIA;Pequeña;Riego;1;70.2;70.2;71;Papa, Maíz, Frijol, Pastos, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Velandia;Rio Chicamocha;CAS;1;;;;;"Programa Servicios Complementarios 2013 - Informe Final; Infraestructura de conduccion afectada por sedimentacion y falta de mantenimiento. 1-Deforestacion de areas aledanas a la bocatoma y franja de proteccion. 2-Contaminacion de canos y quebradas por aguas residuales y sustancias quimicas, provenientes de agroquimicos utilizados en las labores de cultivo. 3-Elebado consumo de lena producto de la deforestacion, para coccion de alimentos. 4-La poca o nula rotacion de cultivos genera perdida de superficie y degradacion del medio ambiente."
659;SANTANDER;LANDAZURI;KILOMETRO EL QUINCE;;ASURIQUINCE;659;KILOMETRO QUINCE;Pequeña;Riego;0;50;50;25;Aguacate, Cacao, Cítricos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Morrocoy;Rio Carare (Minero);CAS;0;;;;;
660;SANTANDER;MACARAVITA;HUERTAS, JUNCAL;;ASORIHUERTAS;660;HUERTAS;Pequeña;Riego;1;70;70;83;Caña, Maíz, Fríjol, Tabaco, Pastos, Yuca, Frutales, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Humaleta o Honda;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2014.
661;SANTANDER;MACARAVITA;ILARGUTA;;ASURITA;661;ILARGUTA;Pequeña;Riego;1;115;115;94;Fríjol, Maíz, Tabaco, Pastos, Trigo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Ramal;Rio Chicamocha;CAS;0;;;;;
662;SANTANDER;MACARAVITA;PALMAR Y RASGÓN;;ASURIRASGON;662;RASGÓN;Pequeña;Riego;1;89;89;90;Maíz, Frijol, Tabaco, Caña, Trigo, Frutales, Pastos, Arveja;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Palmar;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2013.
663;SANTANDER;MALAGA;EL BARZAL;;ASURIBARZAL;663;ORTIGAL Y VARIA;Pequeña;Riego;1;70;70;32;Fríjol, Maíz, Tabaco;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Tresquebradas, Nacimientos, Siete lavaderos y pozo ancho 1 y 2;Rio Chicamocha;CAS;1;;;;;
664;SANTANDER;MALAGA;EL GUASIMO;;ASURIGUAMAL;664;GUASIMO;Pequeña;Riego;1;23.5;23.5;25;Maíz, Frijol, Pastos, Tabaco, Pancoger, Frutales, Plátano, Café;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Los Higerones;Rio Chicamocha;CAS;1;;;;;Tramite de Personeria Juridica ante el INCODER, Programa Servicios Complementarios 2013 - Informe Final.
665;SANTANDER;MATANZA;BULCARE - BULCARE;;ASURIBULCARE;665;BULCARE - BULCARE;Pequeña;Riego;1;56;56;43;Pastos, Maíz, Arveja, Apio, Cebolla Cabezona, Frijol, Tomate, Mora, Habichuela;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Chumbula;Rio Lebrija y otros directos al Magdalena;CDMB;1;;;;;Programa Servicios Complementarios 2013 - Informe Final.
666;SANTANDER;MOLAGAVITA;CENTRO JAIMES Y OTRAS;;ASURICENTRO;666;CENTRO - JAIMES;Pequeña;Riego;0;84;84;35;Caña, Maíz, Fríjol, Pastos;Público ;ADR;Legalizado;Públicos ;ADR;Río Negro;Rio Chicamocha;CAS;0;;;;;Estatutos actualizados. NO SE CONSTRUYO, NO HAY NADA, No esta en operacion. Se construyo parte de la infraestructura y opero en algun momento. Actualmente se utiliza para Acueducto. Segun datos recopilados la vida util fue muy corta. Actualmente No se encuentra en operacion, Ni en funcionamiento.
667;SANTANDER;PINCHOTE;LA GRANJA, CONGUAL, CAPELLANÍA;;ASURIPINCHOTE;667;CUCHARO - PINCHOTE;Pequeña;Riego;0;100;100;83;Frutales ,Cítricos, Mango,, Pastos, Tomate Tabaco, Piscicultura, Maíz;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Pinchote, Río Fonce;Rio Fonce;CAS;1;;;;;"Personeria juridica en tramite ante el INCODER; Programa Servicios Complementarios 2013 - Informe Final."
668;SANTANDER;SABANA DE TORRES;LA RETIRADA, BOCA DE LA TIGRA, PUERTO LIMÓN, VILLA EVA, SAN PEDRO, EL CARIBE, ROBLEDO, IRLANDA;;ASOLEBRIJA;668;LEBRIJA ;Gran;Riego y Drenaje;1;10000;9060;250;Palma de Aceite, Pastos, Arroz, Sorgo, Maíz, Yuca;Público ;ADR;Legalizado;Públicos ;ADR delegada;Río Lebrija;Rio Lebrija y otros directos al Magdalena;CAS;1;;;;;"El distrito esta administrado por la asociacion de usuarios. No esta funcionando como sistema de riego, Programa Servicios Complementarios 2013; Programa de Mantenimiento y Conservacion, Programa de Servicios Complementarios."
669;SANTANDER;SAN ANDRÉS;CENTRO Y OTRAS;;ASURISANANDRES;669;CENTRO;Pequeña;Riego;1;64;64;71;Café, Fríjol, Maíz, Caña, Pastos, Limón ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Negro, Río Listara;Rio Chicamocha;CAS;1;;;;;Programa Servicios Complementarios 2014.
670;SANTANDER;SAN ANDRÉS;HATO DE LOS CABALLEROS, TANQUERA;;ASURIHATO;670;HATO DE LOS CABALLEROS;Pequeña;Riego;1;183;183;183;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Listara;Rio Chicamocha;CAS;1;;;;;
671;SANTANDER;SAN JOSÉ DE MIRANDA;BARZAL, GUASIMO, TIERRA BLANCA, CARBONERA Y OTROS, ;;AURGUSA;671;POPAGA SALADO BRAVO;Pequeña;Riego;1;182;182;160;Fríjol, Maíz, Tabaco;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Servita;Rio Chicamocha;CAS;1;;;;;"Falta copia de la Personeria Juridica de 1996; Programa Servicios Complementarios 2014."
