HS;Descripción HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ENA;ACTIVOSPRODUCTIVO;ASISTENCIATECNICA;ADT
070490;Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...;010803;COLIFLOR;;;;COLIFLOR
070490;Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...;010804;REPOLLO;;;;REPOLLO
070490;Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...;010804;REPOLLO;;;;REPOLLOS
070511;Lechugas repolladas, frescas o refrigeradas;010805;ACHICORIA;ACHICORIA;;;
070511;Lechugas repolladas, frescas o refrigeradas;010806;LECHUGA;LECHUGA;;;
070511;Lechugas repolladas, frescas o refrigeradas;010806;LECHUGA;;;;LECHUGA
070511;Lechugas repolladas, frescas o refrigeradas;010806;LECHUGA;;;;LECHUGA CRESPA
070511;Lechugas repolladas, frescas o refrigeradas;010806;LECHUGA;;;;LECHUGAS
070610;Zanahorias y nabos, frescos o refrigerados (exc. remolachas para ensalada);010901;NABO;NABO;;;
070610;Zanahorias y nabos, frescos o refrigerados (exc. remolachas para ensalada);010902;ZANAHORIA;ZANAHORIA;;;
070690;Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...;010807;ACELGA;ACELGA;;;
070690;Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...;010903;RABANO;RABANO;;;
070690;Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...;010904;REMOLACHA;REMOLACHA;;;
070690;Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...;010807;ACELGA;;;;ACELGA
070690;Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...;010904;REMOLACHA;;;;REMOLACHA
070700;Pepinos y pepinillos, frescos o refrigerados;011001;PEPINO COHOMBRO;PEPINO COHOMBRO;;;
070700;Pepinos y pepinillos, frescos o refrigerados;011002;PEPINO GUISO;PEPINO GUISO;;;
070700;Pepinos y pepinillos, frescos o refrigerados;011001;PEPINO COHOMBRO;;;;PEPINO
070700;Pepinos y pepinillos, frescos o refrigerados;011001;PEPINO COHOMBRO;;;;PEPINO COHOMBRO
070810;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados";011101;ARVEJA;ARVEJA;;;
070810;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados";011101;ARVEJA;;;;ALVERJA
070810;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados";011101;ARVEJA;;;;ALVERJAS
070810;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados";011101;ARVEJA;;;;ARVEJA
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011102;CHACHAFRUTO;CHACHAFRUTO;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011103;FRIJOL;FRIJOL;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011104;FRIJOL ARBUSTIVO;FRIJOL ARBUSTIVO;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011105;FRIJOL LADERA;FRIJOL LADERA;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011106;FRIJOL PLANA;FRIJOL PLANA;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011107;FRIJOL VOLUBLE;FRIJOL VOLUBLE;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011108;GUANDUL;GUANDUL;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011109;HABICHUELA;HABICHUELA;;;
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011103;FRIJOL;;;;FRIJOL
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011104;FRIJOL ARBUSTIVO;;;;FRIJOL CARGAMANTO Y BOLA ROJA
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011106;FRIJOL PLANA;;;;FRIJOL TECNIFICADO
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011103;FRIJOL;;;;FRÍJOL
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011103;FRIJOL;;;;FRÍJOL ALVERJAS
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011106;FRIJOL PLANA;;;;FRÍJOL VERDE
070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";011109;HABICHUELA;;;;HABICHUELA
070910;"Alcachofas ""alcauciles"", frescas o refrigeradas";011201;ALCACHOFA;ALCACHOFA;;;
070920;Espárragos, frescos o refrigerados;011202;ASPARRAGUS;ASPARRAGUS;;;
070920;Espárragos, frescos o refrigerados;011203;ESPARRAGO;ESPARRAGO;;;
070930;Berenjenas, frescas o refrigeradas;011204;BERENJENA;BERENJENA;;;
070930;Berenjenas, frescas o refrigeradas;011204;BERENJENA;;;;BERENJENA
070940;Apio, fresco o refrigerado (exc. apionabo);010505;APIO;APIO;;;
070940;Apio, fresco o refrigerado (exc. apionabo);010506;ARRACACHA;ARRACACHA;;;
070940;Apio, fresco o refrigerado (exc. apionabo);010505;APIO;;;;APIO
070940;Apio, fresco o refrigerado (exc. apionabo);010506;ARRACACHA;;;;ARRACACHA
070959;"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...";011207;CHAMPIÑON;CHAMPIÑON;;;
070959;"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...";011208;ORELLANA;ORELLANA;;;
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011209;AJI;AJI;;;
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011210;AJI DULCE;AJI DULCE;;;
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011211;AJI TABASCO;AJI TABASCO;;;
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011209;AJI;;;;AJÍ
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011210;AJI DULCE;;;;AJÍ DULCE
070960;"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";011211;AJI TABASCO;;;;AJÍ TABASCO
070970;Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas;011212;ESPINACA;ESPINACA;;;
070970;Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas;011212;ESPINACA;;;;ESPINACA
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;HORTALIZAS VARIAS;;;
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;HORTALIZA
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;HORTALIZAS
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;LEGUMBRES
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;LEGUMBRES Y HORTALIZAS
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;VERDURA
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;VERDURAS
070990;Las demás hortalizas, frescas o refrigeradas : Las demás;011220;HORTALIZAS VARIAS;;;;Y HORTALIZAS
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011213;AHUYAMA;AHUYAMA;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011214;CALABACIN;CALABACIN;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011215;CALABAZA;CALABAZA;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011216;GUATILA;GUATILA;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011217;YOTA;YOTA;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011218;ZUCCHINI;ZUCCHINI;;;
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011213;AHUYAMA;;;;AHUYAMA
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011213;AHUYAMA;;;;AHUYAMILLA
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011213;AHUYAMA;;;;AUYAMA
070993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";011214;CALABACIN;;;;CALABACÍN
