HS;Descripci¢n HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ASISTENCIATECNICA
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10516;YUCA INDUSTRIAL;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10511;´AME;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10511;´AME;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10511;´AME;
80119;"Cocos frescos, incluso sin cÊscara o mondados (exc. ??en el interior de shell ""endocarpio"")";12441;COCO;
80119;"Cocos frescos, incluso sin cÊscara o mondados (exc. ??en el interior de shell ""endocarpio"")";12441;COCO;
80261;Nueces de macadamia, frescas o secas, con cÊscara;12442;MACADAMIA;
80300;Bananas o plÊtanos, frescos o secos;11401;BANANITO;
80300;Bananas o plÊtanos, frescos o secos;11402;BANANO;
80300;Bananas o plÊtanos, frescos o secos;11403;BANANO EXPORTACION;
80300;Bananas o plÊtanos, frescos o secos;11404;BANANO MANZANO;
80300;Bananas o plÊtanos, frescos o secos;11405;CACHACO;
80300;Bananas o plÊtanos, frescos o secos;11406;CHIRO;
80300;Bananas o plÊtanos, frescos o secos;11407;CHOLUPA;
80300;Bananas o plÊtanos, frescos o secos;11408;MURRAPO;
80300;Bananas o plÊtanos, frescos o secos;11409;PLATANO;
80300;Bananas o plÊtanos, frescos o secos;11409;PLATANO;PLATANO
80300;Bananas o plÊtanos, frescos o secos;11409;PLATANO;PLµTANO
80300;Bananas o plÊtanos, frescos o secos;11410;PLATANO EXPORTACION;
80300;Bananas o plÊtanos, frescos o secos;11402;BANANO;
80300;Bananas o plÊtanos, frescos o secos;11407;CHOLUPA;
80300;Bananas o plÊtanos, frescos o secos;11409;PLATANO;
80300;Bananas o plÊtanos, frescos o secos;11409;PLATANO;
80410;DÊtiles, frescos o secos;11509;DATIL;
80420;Higos, frescos o secos;11510;HIGO;
80420;Higos, frescos o secos;11510;HIGO;
80420;Higos, frescos o secos;11510;HIGO;
80430;"Pi?as ""ananÊs"", frescas o secas";11501;PI´A;
80430;"Pi?as ""ananÊs"", frescas o secas";11501;PI´A;
80440;"Aguacates ""paltas"", frescos o secos";11502;AGUACATE;
80440;"Aguacates ""paltas"", frescos o secos";11502;AGUACATE;
80440;"Aguacates ""paltas"", frescos o secos";11502;AGUACATE;
80440;"Aguacates ""paltas"", frescos o secos";11502;AGUACATE;
80440;"Aguacates ""paltas"", frescos o secos";11502;AGUACATE;
80450;Guayabas, mangos y mangostanes, frescos o secos;11503;GUAYABA;
80450;Guayabas, mangos y mangostanes, frescos o secos;11504;GUAYABA MANZANA;
80450;Guayabas, mangos y mangostanes, frescos o secos;11505;GUAYABA PERA;
80450;Guayabas, mangos y mangostanes, frescos o secos;11506;MANGO;
80450;Guayabas, mangos y mangostanes, frescos o secos;11507;MANGO INJERTO;
80450;Guayabas, mangos y mangostanes, frescos o secos;11508;MANGOSTINO;
80450;Guayabas, mangos y mangostanes, frescos o secos;11503;GUAYABA;
80450;Guayabas, mangos y mangostanes, frescos o secos;11503;GUAYABA;
80450;Guayabas, mangos y mangostanes, frescos o secos;11506;MANGO;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
805;"Agrios ""cÁtricos"", frescos o secos";116;CITRICOS;
80510;Naranjas, frescas o secas;11601;NARANJA;
80510;Naranjas, frescas o secas;11602;NARANJA JAFFA;
80510;Naranjas, frescas o secas;11603;NARANJA SALUSTIANA;
80510;Naranjas, frescas o secas;11604;NARANJA VALENCIA;
80510;Naranjas, frescas o secas;11605;NARANJA WASHINGTON NAVEL;
80510;Naranjas, frescas o secas;11606;TANGARANA;
80510;Naranjas, frescas o secas;11601;NARANJA;
80510;Naranjas, frescas o secas;11605;NARANJA WASHINGTON NAVEL;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11607;MANDARINA;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11608;MANDARINA CLEMENTINA;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11609;MANDARINA ONECO;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11610;TANGELO;
