,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
11893,11894,M,NINGUNA,NO,CASANARE,85400,UNE,EL NEVADO,GANADERIA,2,2,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,3.0,2.0,1.0,1.0,1,2.0,2.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11894,11895,M,NINGUNA,NO,CASANARE,85225,BETANI,EL CAIRO,GANADERIA,1,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1,4.0,2.0,4,3.0,3.0,1.0,1.0,2,2,2.0,3.0,2.0,1.0,1,3.0,2.0,2.0,2.0,2,2.0,3.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11895,11896,F,NINGUNA,NO,CASANARE,85125,LA CHAPA,LA ILUSION,GANADERIA,2,2,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1.0,1,3.0,2.0,2.0,1.0,1,2.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11896,11897,F,NINGUNA,NO,CASANARE,85010,BELLAVISTA,EL DESAFÍO,GANADERIA,2,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,3.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11897,11898,M,NINGUNA,NO,CASANARE,85010,MONTERRALO,LAS MIRLAS,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,4.0,2.0,2,2.0,2.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11898,11899,M,NINGUNA,NO,CASANARE,85263,EL BANCO,LA CABAÑA,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,3.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11899,11900,M,NINGUNA,NO,CASANARE,85225,GUACHARACAS,LOS PINOS,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11900,11901,F,NINGUNA,NO,CASANARE,85010,ALTAMIRA,BARICHARA,GANADERIA,2,3,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1,2.0,2.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,2.0,1,1.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11901,11902,F,NINGUNA,NO,CASANARE,85263,LA CURAMA,DESENGAÑO,GANADERIA,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1,4.0,1.0,1,4.0,1.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,3.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11902,11903,M,NINGUNA,NO,CASANARE,85010,AGUALINDA,LA ARGELIA,GANADERIA,2,2,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1,4.0,2.0,4,1.0,1.0,1.0,1.0,1,1,2.0,3.0,3.0,2.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11903,11904,F,NINGUNA,NO,CASANARE,85010,ALTAMIRA,LOS TROMPILLOS,GANADERIA,2,3,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,3.0,2.0,2.0,2.0,2,2.0,2.0,2.0,4.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11904,11905,M,NINGUNA,NO,CASANARE,85279,VIJAGUAL,RONCES VALLE,GANADERIA,2,3,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1,1.0,2.0,2,2.0,3.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,3.0,2.0,2.0,1.0,1,3.0,3.0,3.0,3.0,3,1,GANADERIA,201.0,Asistencia Tecnica
11905,11906,M,NINGUNA,NO,CASANARE,85136,LOS PAPAYOS,LA PORFIA,GANADERIA,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1,4.0,2.0,3,2.0,3.0,1.0,1.0,2,1,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,1.0,1,2.0,2.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11906,11907,M,NINGUNA,NO,CASANARE,85136,EL CENTRO,MONTES DE LA IGLESIA,GANADERIA,2,3,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1,4.0,2.0,3,2.0,3.0,1.0,1.0,2,2,2.0,3.0,2.0,2.0,2,3.0,2.0,1.0,1.0,1,4.0,3.0,3.0,4.0,3,2,GANADERIA,201.0,Asistencia Tecnica
