cadena_cultivo|mes_anio|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real
CADUCIFOLIOS|202001|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|201912|107.420323114531|137.890794843566|75.4635856557624|0
CADUCIFOLIOS|201805|14.5384389008107|45.7820638762749|0|0
CADUCIFOLIOS|201802|36.0136851444694|66.7212296539448|5.0088984502028|82
CADUCIFOLIOS|201808|17.1918056522288|28.4689535878494|0|0
CADUCIFOLIOS|201503|42.7234640385683|72.9394336208361|14.016817290641|60
CADUCIFOLIOS|201707|6.41114959298825|36.6955888404094|0|11
CADUCIFOLIOS|201511|24.2279511474776|55.2337384686822|0|7
CADUCIFOLIOS|201906|17.1918056522288|24.179609604912|0|5
CADUCIFOLIOS|202010|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|202007|98.9391554141286|130.479213549651|68.7594862231772|98.9391554141286
CAFE|201703|201624.312998833|241904.373884264|160244.675999968|286062
CAFE|201607|168099.961228326|208501.935261483|127240.423996947|126356
CAFE|201801|215996.013717571|260838.641463401|178871.588316824|247016
CAFE|201712|280659.217963298|319973.971053646|239707.437237655|197817
CAFE|201709|201968.813075508|242847.504957512|161104.707139649|233587
CAFE|201604|253566.417071524|296753.910973717|213288.182751431|277374
CAFE|201506|142274.621885205|182753.318656811|102406.097903945|155986
CAFE|201601|235495.759460267|275909.711918872|195331.02722394|157586
CAFE|202009|177643.711495142|218532.20547862|135942.956708049|177643.711495142
CAFE|202006|586407.911391807|624500.258420568|544022.013188457|586407.911391807
CAFE|201811|191450.437155288|234681.789711412|150185.149319892|186748
CAFE|201702|164719.891165586|204328.590872444|123545.257817809|210303
CAFE|201810|186623.730557059|225661.518057904|144197.227661056|186451
CAFE|201611|187143.635089665|228116.154044376|146562.095145994|214746
CAFE|202104|456456.78773246|499498.337819235|414964.358634376|456456.78773246
CAFE|201901|219025.164583197|260531.814422084|180023.264972352|252039
CAFE|201509|204372.948183763|249021.045577228|162420.341499523|245896
CAFE|201507|210033.727307162|252370.280322172|169938.214796542|234972
CAFE|201908|203090.092307093|246087.180224955|163131.73774536|210955
CAFE|201807|187336.095126633|227014.018725536|146943.928587589|158313
CAFE|202105|142483.491302083|182049.163685425|102436.086708911|142483.491302083
CAFE|202005|116126.602979276|156460.641639429|76601.2972543039|116126.602979276
CAFE|201907|197400.928778878|237665.983225293|156545.461309369|196490
CAFE|202102|8564.402369623|49640.1231958028|150997.703406147|8564.402369623
CAFE|202103|192796.291902252|233858.242667305|150997.703406147|188306
CAFE|201806|143512.29243775|180742.580484977|103149.947150761|141569
CAFE|201904|172797.817055789|209736.131266211|130818.201122919|176879
CAFE|202012|909849.20211933|951329.956448952|867089.407587891|909849.20211933
CAFE|201803|209487.942209102|248262.52537882|168228.831318721|195997
CAFE|201804|200071.664715162|239507.704873664|161487.79050671|197820
CAFE|201602|228330.440484227|267956.904220267|188921.63137678|179732
CAFE|201605|172646.523469718|213422.947490756|127560.756691908|148341
CAFE|201911|192995.485057909|233858.242667305|152447.998852608|189176
