AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Horizonte;AP_Activo_Productivo;AP_cantidad;AP_Departamento
156;1;AGRICOLA;12;Bodegas de almacenamiento de insumos agrícolas;71;META
144;1;AGRICOLA;12;Material Vegetal;172086;META
357;1;AGRICOLA;5;Maquinaria agricola;11;META
119;1;AGRICOLA;;;;NARINO
102;1;AGRICOLA;;;;NARINO
94;1;AGRICOLA;;;;NARINO
104;1;AGRICOLA;;;;NARINO
320;1;AGRICOLA;;;;NARINO
123;1;AGRICOLA;;;;NARINO
371;1;AGRICOLA;;;;NARINO
324;1;AGRICOLA;;;;NARINO
20;1;AGRICOLA;;;;NORTE SANTANDER
285;1;AGRICOLA;;;;NORTE SANTANDER
252;1;AGRICOLA;;;;NORTE SANTANDER
278;1;AGRICOLA;;;;NORTE SANTANDER
276;1;AGRICOLA;;;;NORTE SANTANDER
106;1;AGRICOLA;5;No se han realizado entregas;;QUINDIO
133;1;AGRICOLA;;;;SANTANDER
147;1;AGRICOLA;;;;TOLIMA
168;1;AGRICOLA;;;;VALLE DEL CAUCA
619;1;AGRICOLA;;;;VALLE DEL CAUCA
308;1;AGRICOLA;12;Colinos de plátano;2500;VAUPES
308;1;AGRICOLA;12;Kit herramientas (Bombas fumigadoras, Balanzas;8;VAUPES
308;1;AGRICOLA;12;Kit de insumos agrícolas;50;VAUPES
308;1;AGRICOLA;12;Palas;50;VAUPES
308;1;AGRICOLA;12;Limas;100;VAUPES
719;1;AGRICOLA;7;No se han entregado activos;;VICHADA
