Código,Descripción del producto,Mes,value,YYYY,MM,CADENA_PRODUCTIVA_ADR
071340,"Lentejas secas desvainadas, aunque estén mondadas o partidas",201505,1,2015,05,LENTEJA
060315,"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos",201505,13,2015,05,ANTURIO
081340,"Melocotones, incl. los griñones y nectarinas, peras, papayas, tamarindos y demás frutos comestibles, ...",201505,80,2015,05,ANON
080450,"Guayabas, mangos y mangostanes, frescos o secos",201505,60,2015,05,GUAYABA
080510,"Naranjas, frescas o secas",201505,193,2015,05,NARANJA
071410,"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...",201505,5,2015,05,BATATA
081010,"Fresas ""frutillas"", frescas",201505,14,2015,05,FRESA
090210,"Té verde sin fermentar, presentado en envases inmediatos con un contenido <= 3 kg",201505,12,2015,05,TE
060290,"Plantas vivas, incl. sus raíces, y micelios (exc. bulbos, cebollas, tubérculos, raíces y bulbos ...",201505,88,2015,05,PLANTULAS
100850,"Quinua ""Chenopodium quinoa""",201505,73,2015,05,QUINUA
070959,"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...",201505,9,2015,05,CHAMPIÑON
070511,"Lechugas repolladas, frescas o refrigeradas",201505,0,2015,05,ACHICORIA
070320,Ajos frescos o refrigerados,201505,17,2015,05,AJO
070200,Tomates frescos o refrigerados,201505,2,2015,05,TOMATE
070960,"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados",201505,0,2015,05,AJI
070190,"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)",201505,1,2015,05,PAPA
080420,"Higos, frescos o secos",201505,20,2015,05,HIGO
080940,"Ciruelas y endrinas, frescas",201505,0,2015,05,CIRUELA
070390,"Puerros y demás hortalizas aliáceas, incl. ""silvestres"", frescos o refrigerados (exc. cebollas, ...",201505,3,2015,05,PUERRO
080719,"Melones, frescos (exc. sandías)",201505,4,2015,05,MELON
070993,"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""",201505,2,2015,05,AHUYAMA
080520,"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e híbridos simil. de agrios ...",201505,15,2015,05,MANDARINA
