Código;Descripción del producto;Valor exportado en 2015-M03;Valor exportado en 2015-M04;Valor exportado en 2015-M05;Valor exportado en 2015-M06;Valor exportado en 2015-M07;Valor exportado en 2015-M08;Valor exportado en 2015-M09;Valor exportado en 2015-M10;Valor exportado en 2015-M11;Valor exportado en 2015-M12;Valor exportado en 2016-M01;Valor exportado en 2016-M02;Valor exportado en 2016-M03;Valor exportado en 2016-M04;Valor exportado en 2016-M05;Valor exportado en 2016-M06;Valor exportado en 2016-M07;Valor exportado en 2016-M08;Valor exportado en 2016-M09
'071159;Setas y demás hongos, conservadas provisionalmente, p.ej., con gas sulfuroso o con agua salada, ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071231;"Hongos del género ""Agaricus"", secos, incl. los cortados en trozos o en rodajas o los triturados ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071239;Setas y demás hongos y trufas, secas, incl. las cortadas en trozos o en rodajas o las trituradas ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071320;Garbanzos secos desvainados, aunque estén mondados o partidos;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
'071332;"Judías ""porotos, alubias, frijoles, fréjoles"" Adzuki ""Phaseolus"", ""Vigna angularis"", seca y ...";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
'071335;"Alubias secas ""Vigna unguiculata"", aunque estén mondadas o partidas";0;0;0;1;0;0;0;0;1;0;3;0;0;3;0;0;0;0;0
'071339;"Alubias secas ""Vigna y Phaseolus"", aunque estén mondadas o partidas (exc. ??judías de las especies ...";2;5;0;2;0;2;0;0;0;0;2;0;1;2;1;0;2;0;2
'071350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
'071390;Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071420;"Batatas ""boniatos, camotes"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
'080111;Cocos, secos;0;2;0;2;1;0;10;0;1;0;0;0;0;0;0;0;0;7;0
