,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
118,118,142,142,"Construcción e implementación de sistema de secado solar para el manejo de café especial de 53 pequeños productores cafeteros del municipio de Íquira, departamento del Huila",HUILA,ÍQUIRA,53,43,10,9,375495000,,375495000,78145000,453640000,80,298,05/03/2018 12:00:00 AM,2017,,1,AGRICOLA
119,119,143,143,"Fortalecimiento de las capacidades productivas y organizacionales de pequeños productores rurales, mediante el fortalecimiento de 93 hectáreas de plátano hartón en el municipio de Montería, departamento de Córdoba",CORDOBA,MONTERÍA,93,65,28,37,1000000000,,1000000000,314340000,1314340000,93,346,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
120,120,144,144,"Apoyo al mejoramiento de la competitividad y productividad de 92 familias productoras de la Asociación ""Fructioriguejar"" a través del sostenimiento y la comercialización de 92 hectáreas de guayaba y pera; involucrando el acceso a insumos, equipos y acompañamiento técnico en el municipio de Lejanías departamento del Meta",META,LEJANÍAS,92,62,30,44,669701000,,669701000,342855000,1012556000,92,350,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
121,121,145,145,Fortalecer las capacidades productivas de familias cafeteras en los municipios de Fredonia y Montebello en el departamento de Antioquia,ANTIOQUIA,"FREDONIA, MONTEBELLO",68,43,25,19,627047500,,627047500,263051200,890098700,51,790,09/25/2018 12:00:00 AM,2017,,1,AGRICOLA
123,123,147,147,Incrementar la producción de los cultivos de plátano asociados a café y las capacidades técnicas de 30 familias del municipio de Líbano en el departamento del Tolima,TOLIMA,LÍBANO,30,19,11,15,200000000,,200000000,106200000,306200000,60,354,05/23/2018 12:00:00 AM,2017,,1,AGRICOLA
124,124,148,148,"Fortalecer las capacidades productivas de pequeños productores de maíz de los municipios de San Juan de Nepomuceno y San Jacinto en los Montes de María, departamento de Bolívar",BOLIVAR,"SAN JACINTO, SAN JUAN NEPOMUCENO",205,205,0,182,1979133000,,1979133000,445252000,2424385000,820,505,07/09/2018 12:00:00 AM,2017,,1,AGRICOLA
125,125,149,149,"Fortalecimiento de las capacidades productivas de 19 asociaciones de pequeños productores, mediante la dotación de bancos de maquinaria y equipos, para la producción de papa en el departamento de Boyacá",BOYACA,"CÓMBITA, BELÉN, TUTAZÁ, VENTAQUEMADA, TUNJA, SORACÁ, TURMEQUÉ, TOCA, VIRACACHA, MOTAVITA, GUICAN, ÚMBITA, TUTA, SIACHOQUE, SAMACÁ, AQUITANIA, CUCAITA",347,278,69,0,3618584000,,3618584000,1455284620,5073868620,270,456,06/19/2018 12:00:00 AM,2017,,1,AGRICOLA
126,126,150,150,Generar alternativas de producción para 94 pequeños productores del municipio de El Guamo Bolívar a través de la siembra de igual número de hectáreas de plátano,BOLÍVAR,EL GUAMO,94,84,10,38,977966000,,977966000,282000000,1259966000,94,8,01/09/2020 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
127,127,151,151,"Construcción e implementación del sistema de secado solar para el manejo de café especial de 55 pequeños productores cafeteros del municipio de Acevedo, departamento del Huila",HUILA,ACEVEDO,55,38,17,5,392075000,,392075000,80075000,472150000,83,345,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
129,129,153,153,"Fortalecer y optimizar la cadena de caña panelera, mediante el sostenimiento técnico y agroforestal del cultivo, e implementación de sistemas de recirculación térmica para 30 hornillas de pequeños productores de los municipios de Guaduas, Bituima, Villeta, Sasaima, Quebrada Negra y Caparrapí, del departamento de Cundinamarca",CUNDINAMARCA,"GUADUAS, BITUIMA, VILLETA, SASAIMA, QUEBRADA NEGRA Y CAPARRAPÍ",191,152,39,25,2326561000,,2326561000,995625000,3322186000,191,577,07/24/2018 12:00:00 AM,2017,,1,AGRICOLA
132,132,156,156,"Mejoramiento de las capacidades productivas de pequeños productores cacaoteros pertenecientes a los municipios de Castilla La Nueva, El Castillo, El Dorado y Vista Hermosa, departamento del Meta; mediante el establecimiento de ochenta y siete (87) hectáreas de cacao en asocio con plátano hartón, entrega de insumos para el establecimiento del cultivo y dotación de equipos para su sostenimiento",META,"EL DORADO, EL CASTILLO, CASTILLA, LA NUVA, VISTA HERMOSA",87,54,33,43,906940020,,906940020,264915000,1171855020,87,342,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
133,133,157,157,"Mejoramiento del ingreso de los pequeños productores a través del desarrollo tecnificado de los cultivos de plátano hartón asociado con maíz amarillo en los municipios de Carmen de Bolívar, San Juan Nepomuceno y San Jacinto en el departamento de Bolívar",BOLIVAR,"CARMEN DE BOLÍVAR, SAN JUAN NEPOMUCENO Y SAN JACINTO",133,133,0,123,2143671000,,2143671000,296640000,2440311000,119,543,07/17/2018 12:00:00 AM,2017,,1,AGRICOLA
137,137,552,161,Construcción e implementación de sistema de secado solar para el manejor de café especial de 45 pequeños productores cafeteros del municipio de Neiva del departamento del Huila,HUILA,NEIVA,45,36,9,1,320175000,,320175000,56233000,376408000,68,351,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
138,138,559,162,"Mejorar la capacidad productiva y asociativa a pequeños productores ganaderos mediante el mejoramiento de las condiciones nutricionales del hato lechero de 49 beneficiarios del municipio de Zetaquirá, departamento de Boyacá",BOYACA,ZETAQUIRA,49,27,22,0,556970000,,556970000,168520000,725490000,74,527,07/12/2018 12:00:00 AM,2017,,1,AGRICOLA
139,139,163,163,"Siembra, producción y sostenimiento del cultivo de plátano (Musa paradisiaca) por mujeres rurales pertenecientes al consejo comunitario Pedeguita y Mancilla en el municipio de Riosucio en el departamento del Chocó",CHOCO,RIOSUCIO,40,2,38,31,729547396,,729547396,334850000,1064397396,80,366,05/30/2018 12:00:00 AM,2017,,1,AGRICOLA
140,140,165,165,"Siembra y establecimiento de cacao y plátano, en 30 hectáreas de las comunidades de Boa de Pepe y Querá; pertenecientes al Consejo Comunitario General del Río Baudó y sus afluentes ""ACABA"", municipio del Medio Baudó, departamento del Chocó",CHOCO,MEDIO BAUDÓ,30,18,12,15,249869700,,249869700,159600000,409469700,30,590,07/26/2018 12:00:00 AM,2017,,1,AGRICOLA
142,142,167,167,Mejorar la productividad y el proceso de poscosecha de pequeños productores de café de la serranía del Perijá en el municipio de Fonseca departamento de la Guajira,LA_GUAJIRA,FONSECA,19,13,6,17,284477000,,284477000,96780000,381257000,19,401,06/07/2018 12:00:00 AM,2017,,1,AGRICOLA
143,143,168,168,"Fortalecimiento de la cadena productiva del maíz en el Distrito de Riego del RUT mediante la instalación de una planta de secado y almacenamiento en silos que beneficia a familias de ASORUT en los municipios de Roldanillo, La Unión y Toro del departamento del Valle del Cauca.",VALLE DEL CAUCA,"ROLDANILLO, LA UNIÓN, TORO",151,124,27,9,4510439997,,4510439997,18170032752,22680472749,1501,622,09/09/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
147,147,173,173,"Fortalecer el sistema productivo agropecuario en la subregión del Bajo Cauca, mediante la implementación de un banco de maquinaria agrícola para pequeños y medianos productores de los municipios de Caucasia, Nechí y Tarazá del departamento de Antioquia",ANTIOQUIA,"CAUCASIA, NECHÍ, TARAZÁ",119,74,45,48,1300000000,,1300000000,285456000,1585456000,48,633,08/06/2018 12:00:00 AM,2017,,1,AGRICOLA
