Código;Descripción del producto;Valor exportado en 2018-M05;Valor exportado en 2018-M06;Valor exportado en 2018-M07;Valor exportado en 2018-M08;Valor exportado en 2018-M09;Valor exportado en 2018-M10;Valor exportado en 2018-M11;Valor exportado en 2018-M12;Valor exportado en 2019-M01;Valor exportado en 2019-M02;Valor exportado en 2019-M03;Valor exportado en 2019-M04;Valor exportado en 2019-M05;Valor exportado en 2019-M06;Valor exportado en 2019-M07;Valor exportado en 2019-M08;Valor exportado en 2019-M09;Valor exportado en 2019-M10;Valor exportado en 2019-M11;Valor exportado en 2019-M12
'091050;Curry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'091091;Mezclas de especias diversas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100110;Trigo y morcajo (tranquillón) : Trigo duro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100190;Trigo y morcajo (tranquillón) : Los demás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100199;Trigo y morcajo (exc. ??las de siembra para la siembra, y el trigo duro);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100200;Centeno;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100290;Centemp (exc. ??las semillas para siembra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100300;Cebada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100390;Cebada (exc. ??las de siembra para siembra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100400;Avena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100410;Avena para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100490;Avena (exc. ??las de siembra para siembra);0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100610;"Arroz con cáscara o arroz ""paddy""";0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0
'100620;"Arroz descascarillado ""arroz cargo"" o ""arroz pardo""";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
