AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Id_Predio;AP_Departamento;AP_Municipio;AP_Longitud_Predio 12;AP_Latitud_Predio 13;AP_Longitud_Predio 13;AP_Latitud_Predio 14;AP_Longitud_Predio 14;AP_Latitud_Predio 15;AP_Latitud_Predio 16;AP_Latitud_Predio 17;AP_Latitud_Predio 18;AP_Latitud_Predio 19;AP_Latitud_Predio 20;AP_Latitud_Predio 21;AP_Latitud_Predio 22;AP_Latitud_Predio 23;AP_Latitud_Predio 24;AP_Latitud_Predio 25
89;1;AGRICOLA;40;ANTIOQUIA;Andes;-75.915166;5.666969;-75.914796;5.667102;-75.914639;5.666688;-75.914968;5.666485;;;;;;;;
89;1;AGRICOLA;41;ANTIOQUIA;Andes;-75.838381;5.643782;-75.83896;5.643899;-75.838315;5.644484;-75.838638;5.644368;;;;;;;;
89;1;AGRICOLA;42;ANTIOQUIA;Andes;-75.902123;5.682596;-75.901739;5.682392;-75.90245;5.681595;-75.902346;5.681722;;;;;;;;
89;1;AGRICOLA;43;ANTIOQUIA;Andes;-75.93322;5.678704;-75.932534;5.678725;-75.93285;5.678187;-75.932631;5.678167;;;;;;;;
89;1;AGRICOLA;44;ANTIOQUIA;Andes;-75.9304;5.673259;-75.930465;5.673983;-75.930916;5.67366;-75.930823;5.673198;;;;;;;;
89;1;AGRICOLA;45;ANTIOQUIA;Andes;-75.928675;5.674365;-75.928628;5.673917;-75.929241;5.673946;-75.929308;5.674232;;;;;;;;
89;1;AGRICOLA;46;ANTIOQUIA;Andes;-75.92133;5.638411;-75.921547;5.638224;-75.921947;5.638787;-75.921609;5.63984;;;;;;;;
89;1;AGRICOLA;47;ANTIOQUIA;Andes;-75.912733;5.651733;-75.911977;5.651198;-75.910654;5.65222;-75.909816;5.652909;;;;;;;;
89;1;AGRICOLA;48;ANTIOQUIA;Andes;-75.853409;5.667274;-75.853871;5.6674;-75.854332;5.667383;-75.853897;5.667857;;;;;;;;
89;1;AGRICOLA;49;ANTIOQUIA;Andes;-75.857269;5.664916;-75.856761;5.66527;-75.856609;5.664569;-75.856759;5.66528;;;;;;;;
89;1;AGRICOLA;50;ANTIOQUIA;Andes;-75.954849;5.650752;-75.954305;5.64965;-75.953804;5.648566;-75.953761;5.6476;;;;;;;;
89;1;AGRICOLA;51;ANTIOQUIA;Andes;-75.90541;5.563726;-75.904851;5.563974;-75.904901;5.564271;-75.905228;5.564132;;;;;;;;
89;1;AGRICOLA;52;ANTIOQUIA;Andes;-75.900511;5.588853;-75.900133;5.588929;-75.899899;5.5887;-75.899685;5.588382;;;;;;;;
89;1;AGRICOLA;53;ANTIOQUIA;Andes;-75.903718;5.57429;-75.903955;5.572459;-75.902698;5.573867;-75.902346;5.575374;;;;;;;;
89;1;AGRICOLA;54;ANTIOQUIA;Andes;-75.892336;5.576164;-75.892871;5.577213;-75.893704;5.576914;-75.8936;5.575836;;;;;;;;
89;1;AGRICOLA;55;ANTIOQUIA;Andes;-75.90973;5.573386;-75.90963;5.57297;-75.909481;5.572706;-75.909954;5.57324;;;;;;;;
89;1;AGRICOLA;56;ANTIOQUIA;Andes;-75.90159;5.577333;-75.900412;5.576649;-75.899625;5.576614;-75.900809;5.575895;;;;;;;;
89;1;AGRICOLA;57;ANTIOQUIA;Andes;-75.908858;5.575721;-75.909396;5.575165;-75.909667;5.575321;-75.909188;5.575746;;;;;;;;
89;1;AGRICOLA;58;ANTIOQUIA;Andes;-75.89356;5.580516;-75.894669;5.579394;-75.893292;5.579109;-75.893259;5.578172;;;;;;;;
89;1;AGRICOLA;59;ANTIOQUIA;Andes;-75.879582;5.568829;-75.879851;5.568596;-75.8806;5.56922;-75.879805;5.569132;;;;;;;;
89;1;AGRICOLA;60;ANTIOQUIA;Andes;-75.887734;5.579377;-75.888884;5.575947;-75.89062;5.573459;-75.89297;5.575401;;;;;;;;
89;1;AGRICOLA;61;ANTIOQUIA;Andes;-75.881338;5.55179;-75.877885;5.548565;-75.877382;5.550918;-75.87468;5.550537;;;;;;;;
89;1;AGRICOLA;62;ANTIOQUIA;Andes;-75.897419;5.566293;-75.897507;5.565292;-75.896724;5.566177;-75.896775;5.56521;;;;;;;;
89;1;AGRICOLA;63;ANTIOQUIA;Andes;-75.884218;5.576689;-75.88411;5.57625;-75.884199;5.575251;-75.885142;5.574819;;;;;;;;
89;1;AGRICOLA;64;ANTIOQUIA;Andes;-75.8995347;5.5292669;-75.89644132;5.530298;-75.886932;5.53293315;-75.891743;5.5322457;;;;;;;;
89;1;AGRICOLA;65;ANTIOQUIA;Andes;-75.875725;5.560931;-75.875654;5.560942;-75.875723;5.56084;-75.87565;5.560853;;;;;;;;
89;1;AGRICOLA;66;ANTIOQUIA;Andes;-75.883889;5.553664;-75.881821;5.550664;-75.8876;5.550263;-75.883437;5.547319;;;;;;;;
89;1;AGRICOLA;67;ANTIOQUIA;Andes;-75.890377;5.5619;-75.890341;5.560768;-75.888489;5.561193;-75.888463;5.560891;;;;;;;;
89;1;AGRICOLA;68;ANTIOQUIA;Andes;-75.877743;5.556703;-75.877368;5.555403;-75.874903;5.555709;-75.874884;5.5572;;;;;;;;
89;1;AGRICOLA;69;ANTIOQUIA;Andes;-75.890587;5.57951;-75.890544;5.578589;-75.889893;5.578493;-75.89067;5.57882;;;;;;;;
89;1;AGRICOLA;70;ANTIOQUIA;Andes;-75.909591;5.569482;-75.909985;5.569921;-75.910743;5.569254;-75.910486;5.568861;;;;;;;;
89;1;AGRICOLA;71;ANTIOQUIA;Andes;-75.91696;5.566907;-75.915548;5.567262;-75.915651;5.568463;-75.915137;5.567993;;;;;;;;
89;1;AGRICOLA;72;ANTIOQUIA;Andes;-75.911923;5.57091;-75.912812;5.570326;-75.913148;5.570819;-75.912289;5.571196;;;;;;;;
89;1;AGRICOLA;73;ANTIOQUIA;Andes;-75.905472;5.564707;-75.905963;5.565237;-75.905925;5.565677;-75.905414;5.565362;;;;;;;;
89;1;AGRICOLA;74;ANTIOQUIA;Andes;-75.904894;5.563656;-75.904663;5.56468;-75.904333;5.563907;-75.904679;5.563636;;;;;;;;
89;1;AGRICOLA;75;ANTIOQUIA;Andes;-75.892681;5.588189;-75.892299;5.58878;-75.891934;5.58784;-75.891805;5.58873;;;;;;;;
89;1;AGRICOLA;76;ANTIOQUIA;Andes;-75.91;5.63151;-75.909771;5.632158;-75.90971;5.631878;-75.909243;5.631277;;;;;;;;
89;1;AGRICOLA;77;ANTIOQUIA;Andes;-75.904453;5.631944;-75.90421;5.632212;-75.904286;5.632815;-75.904688;5.632206;;;;;;;;
89;1;AGRICOLA;78;ANTIOQUIA;Andes;-75.898617;5.626544;-75.898691;5.62769;-75.899285;5.627384;-75.899261;5.626927;;;;;;;;
89;1;AGRICOLA;79;ANTIOQUIA;Andes;-75.91118;5.625619;-75.910699;5.625265;-75.910384;5.625388;-75.910842;5.625886;;;;;;;;
89;1;AGRICOLA;80;ANTIOQUIA;Andes;-75.900327;5.627798;-75.90158;5.627221;-75.900685;5.626431;-75.9005;5.626999;;;;;;;;
89;1;AGRICOLA;81;ANTIOQUIA;Andes;-75.920206;5.634605;-75.91988;5.634833;-75.919462;5.634558;-75.919617;5.634149;;;;;;;;
89;1;AGRICOLA;82;ANTIOQUIA;Andes;-75.888418;5.619378;-75.888343;5.619199;-75.888653;5.618982;-75.888733;5.619182;;;;;;;;
89;1;AGRICOLA;83;ANTIOQUIA;Andes;-75.913962;5.614688;-75.91461;5.614195;-75.91429;5.61433;-75.914136;5.613519;;;;;;;;
89;1;AGRICOLA;84;ANTIOQUIA;Andes;-75.908964;5.605545;-75.908692;5.605492;-75.91429;5.60573;-75.908945;5.604837;;;;;;;;
89;1;AGRICOLA;85;ANTIOQUIA;Andes;-75.905809;5.609269;-75.90659;5.609251;-75.906332;5.608109;-75.906919;5.608249;;;;;;;;
89;1;AGRICOLA;86;ANTIOQUIA;Andes;-75.916751;5.59732;-75.917559;5.595895;-75.918279;5.594603;-75.917493;5.594686;;;;;;;;
89;1;AGRICOLA;87;ANTIOQUIA;Andes;-75.88935;5.61912;-75.887835;5.617884;-75.888475;5.617751;-75.88766;5.617578;;;;;;;;
89;1;AGRICOLA;88;ANTIOQUIA;Andes;-75.890887;5.621815;-75.891934;5.621444;-75.89252;5.62147;-75.891114;5.620407;;;;;;;;
89;1;AGRICOLA;89;ANTIOQUIA;Andes;-75.88937;5.617996;-75.888941;5.617695;-75.888982;5.617245;-75.888504;5.616883;;;;;;;;
89;1;AGRICOLA;90;ANTIOQUIA;Andes;-75.849857;5.657617;-75.850663;5.657449;-75.850723;5.656916;-75.849991;5.657133;;;;;;;;
89;1;AGRICOLA;91;ANTIOQUIA;Andes;-75.907216;5.60468;-75.906264;5.604244;-75.906245;5.605204;-75.907372;5.604688;;;;;;;;
89;1;AGRICOLA;92;ANTIOQUIA;Andes;-75.956404;5.625631;-75.955694;5.623882;-75.954778;5.62425;-75.954592;5.622617;;;;;;;;
89;1;AGRICOLA;93;ANTIOQUIA;Andes;-75.895697;5.599906;-75.897367;5.597615;-75.897887;5.595782;-75.90029;5.597204;;;;;;;;
