AP_Numero_BP;AP_Porcentaje_Avance;AP_Beneficiarios_Definitivos;AP_Cant_Afrocolombiano;AP_Cant_Campesinos;AP_Cant_Mujeres;AP_Cant_Indigenas;AP_Cant_Hombre;AP_Cant_MujerRural;AP_Raizal;AP_Cant_Victimas;AP_Sector_Productivo;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Nombre_Proyecto;AP_Fecha_Resolución;AP_Departamento
153;55;191;0;191;38;0;153;0;0;25;Agricola;1;AGRICOLA;Fortalecer y optimizar la cadena de la caña panelera, mediante el sostenimiento técnico y agroforestal del cultivo, e implementación de sistemas de recirculación térmica para 30 hornillas de pequeños productores de los municipios Guaduas, Bituima, Villeta, Sasaima, Quebrada Negra y Caparrapí, del Departamento de Cundinamarca.;24/07/2018;CUNDINAMARCA
131;19.64;170;0;170;49;0;121;0;0;23;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades técnicas y productivas a través de asistencia técnica, establecimiento y sostenimiento de los cultivos de aguacate Hass en asocio con hortalizas de hoja, beneficiando a pequeños y medianos productores departamento de Cundinamarca;6/08/2018;CUNDINAMARCA
311;87.14;93;0;93;26;0;67;0;0;11;Agricola;1;AGRICOLA;Articulación de esfuerzos administrativos, técnicos y financieros entre la ADR, el municipio de Gutierrez y la Fundación Colores de mi Tierra, para apoyar el desarrollo agropecuario y rural en la cadena de frijol en el municipio de Gutierrez, departamento de Cundinamarca.;9/08/2018;CUNDINAMARCA
2085;10;220;0;220;31;0;189;0;0;0;Agricola;1;AGRICOLA;Fortalecimiento de la cadena productiva de la papa mediante la dotacion de bancos de maquinaria para las provincias de Ubate, el Guavio, Sabana de Occidente, Sabana Centro y Almeidas en el Departamento de Cundinamarca;18/11/2019;CUNDINAMARCA
378;15;90;0;90;3;0;87;0;0;36;Agricola;1;AGRICOLA;Fortalecimiento de la cadena productiva de cacao a través de la rehabilitación de 184 hectáreas de cacao en los Departamentos de Guainia y Vichada.;16/07/2019;GUAINIA
108;100;70;0;70;21;2;49;0;0;9;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas de la Asociación Café Especial Salomón mediante la dotación de equipos para los procesos de transformación primaria y secundaria de café.;23/03/2018;HUILA
129;85.62;27;0;27;27;0;0;0;0;1;Agricola;1;AGRICOLA;Fortalecimiento de la producción cafetera de la Asociación de Mujeres Cafeteras del Centro del Huila mediante sostenimiento de café y asistencia técnica.;23/03/2018;HUILA
142;72.35;53;0;53;10;0;43;0;0;9;Agricola;1;AGRICOLA;Construcción e implementación de sistema de sacado solar para el manejo de café especial de 53 pequeños productores cafeteros del municipio de Iquira, departamento del Huila;3/05/2018;HUILA
151;88.48;35;0;35;8;0;27;0;0;4;Agricola;1;AGRICOLA;Construcción e implementación de sistema de secado solar para el manejo de café de 35 pequeños productores cafeteros del municipio de Rivera, departamento del Huila.;22/05/2018;HUILA
117;95;55;0;50;16;0;39;0;0;5;Agricola;1;AGRICOLA;Construcción e implementación del sistema de secado solar para el manejo de café especial de 55 pequeño productores cafeteros del municipio de Acevedo, departamento del Huila;22/05/2018;HUILA
114;94.5;41;0;41;10;0;31;0;0;5;Agricola;1;AGRICOLA;"Construcción e implementación de sistema de secado solar para el manejo de café especial de 41 pequeños productores pertenecientes a la asociación de cafeteros ""El desarrollo"" del municipio de Gigante, departamento del Huila.";22/05/2018;HUILA
552;95;45;0;45;7;0;38;0;0;1;Agricola;1;AGRICOLA;Construcción e implementación de sistema de secado solar para el manejo de café especial de 45 pequeños productores cafeteros del municipio de Neiva del departamento del Huila.;22/05/2018;HUILA
307;85.91;60;0;60;13;0;47;0;0;6;Agricola;1;AGRICOLA;Construcción e implementación de sistema de secado solar para el manejo de café pequeños productores cafeteros de la Asociación Agropecuaria Holanda, Municipio de Pitalito - Huila;9/07/2018;HUILA
167;50;19;0;19;6;0;13;0;0;17;Agricola;1;AGRICOLA;Mejorar la productividad y el proceso de pos cosecha de pequeños productores de café de la Serranía del Perijá en el municipio de Fonseca departamento de la Guajira;7/06/2018;LA GUAJIRA
342;95;187;0;187;51;0;136;0;0;98;Agricola;1;AGRICOLA;"Implementación de agronegocios hortofruticolas intensivos con pequeños productores de los Municipios de Urumita, La Jagua del Pilar y Villanueva en el Departamento de la Guajira;";24/07/2018;LA GUAJIRA
90;95;160;0;160;32;0;128;0;0;65;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas, asociativas y comerciales de 160 pequeños productores del municipio de Plato en el departamento de Magdalena, a través del establecimiento de 160 hectáreas de ñame espino tipo exportación.;11/04/2018;MAGDALENA
17;100;40;0;40;9;0;31;0;0;0;Productivo-mejoramiento cultivo;1;AGRICOLA;Fortalecer la capacidad productiva y manejo de postcosecha mediante el establecimiento de 20 has de café resistente a roya, sostenimiento de 20 has de café variedad Colombia, adquisición de 40 beneficiaderos ecológicos y la dotación de dos equipo de laboratorio para la Asociación de caficultores de la Macarena y Sumapaz para el año 2017 en el Municipio de Mesetas - Meta.;12/07/2017;META
25;100;28;0;28;12;0;16;0;0;10;Agricola, Maquinaria;1;AGRICOLA;Fortalecimiento de la productividad del cultivo de caucho con la implementación de tecnologías a partir de la dotación de maquinaria e insumos agrícolas en las veredas Las Delicias, Aguazul, Buenos Aires, Altamira, Santa Teresa, los Medios y el Billar del municipio de la Macarena – Meta.;19/09/2017;META
63;95;40;0;40;9;0;31;0;0;12;Agricola;1;AGRICOLA;Mejoramiento de los ingresos rurales a través del establecimiento de nuevas hectáreas de cultivo de cítricos para los pequeños productores de ASPROCUM del municipio de Uribe Meta;21/02/2018;META
72;95;40;0;40;9;0;31;0;0;10;Agricola;1;AGRICOLA;"Fortalecimiento de los sistemas productivos agropecuarios en los predios de los pequeños productores de ACAPRADIV como apoyo al proceso de sustitución de cultivos ilícitos en el Municipio de Uribe Meta.;";28/02/2018;META
101;95;47;0;47;43;0;4;0;0;17;Agricola;1;AGRICOLA;Aumentar la capacidad de siembra de plátano, fortaleciendo el impulso en la compra de maquinaria agrícola para la Asociación Red de Mujeres Comunales del departamento del Meta, del Municipio de Fuente de Oro, Departamento del Meta.;28/02/2018;META
132;95;148;0;148;60;0;88;0;0;62;Productivo-Cultivo;1;AGRICOLA;Fortalecimiento de las capacidades productivas a 148 pequeños productores mediante la producción de cacao asociado con plátano, en los municipios de Acacias, Restrepo, Guamal, Cabuyaro, Puerto López, Vista Hermosa, El Dorado y El Castillo, en el departamento del Meta;16/04/2018;META
156;55;71;0;71;31;0;40;0;0;37;Agricola;1;AGRICOLA;Asistir técnicamente a la Asociación de Fruticultores del Dorado - ASOFRUD en buenas practicas agrícolas como estrategia para el fortalecimiento diferencial y competitivo del sector cacaotero en el municipio de El Dorado, en el departamento del Meta.;22/05/2018;META
144;95;87;0;87;33;0;54;0;0;43;Agricola;1;AGRICOLA;"Mejoramiento de las capacidades productivas de pequeños productores cacaoteros, pertenecientes a los municipios de Castilla La Nueva, El castillo, El Dorado y Vista Hermosa, departamento del Meta; mediante el establecimiento de 87 hectáreas de cacao en asocio con plátano hartón, entrega de insumos para el establecimiento del cultivo y dotación de equipos para su sostenimiento.";22/05/2018;META
357;70;250;0;250;74;0;176;0;0;74;Agricola, Pecuario;1;AGRICOLA;Fortalecimiento de las capacidades productivas, mediante la dotación de bancos de maquinaria agrícola (Tractor e implementos) para las asociaciones productivas en los municipios de La Macarena, Mesetas, Uribe, Vista Hermosa, Barranca de Upía, San Juan de Arama, San Carlos de Guaroa, Puerto Lleras, Puerto Concordía, Mapiripán y Cumaral del departamento del Meta.;24/07/2018;META
119;100;87;0;87;15;0;72;0;0;11;Agricola;1;AGRICOLA;Fortalecer las capacidades técnicas, socio - empresariales y ambientales de 87 pequeños productores de granadilla en el municipio de Ancuyá, departamento de Nariño.;15/02/2018;NARINO
102;95;32;0;0;11;32;21;0;0;3;Agricola;1;AGRICOLA;Fortalecer el sistema productivo de mora (Rubus Glaucos Benth) en los resguardos de Yamaral e Ipiales del pueblo indígena de los Pastos.;28/02/2018;NARINO
94;95;740;0;740;212;0;528;0;0;169;Agricola;1;AGRICOLA;Fortalecimiento integral de la cadena de valor de los cafés especiales en el departamento de Nariño.;23/03/2018;NARINO
104;55;40;0;0;10;31;30;0;0;9;Agricola;1;AGRICOLA;Fortalecer el sistema productivo de Café en el Resguardo Indígena el Gran Mallama, Municipio de Mallama, Departamento de Nariño.;23/03/2018;NARINO
320;91.1;100;0;100;32;0;68;0;0;11;Agricola;1;AGRICOLA;Fortalecimiento de la actividad cafetera en el municipio de la Unión, departamento de Nariño.;9/07/2018;NARINO
123;87.2;62;0;62;19;4;43;19;0;10;Agricola;1;AGRICOLA;Implementar la cadena productiva de tomate de mesa, para 62 familias productoras de los municipios de Puerres y Guaitarilla en el departamento de Nariño.;17/07/2018;NARINO
371;30;37;0;37;16;0;21;0;0;23;Agricola;1;AGRICOLA;Fortalecimiento de las cadenas productivas de café en asocio con plátano y aguacate, cultivo de maracuyá de 37 familias de las veredas Alto de Don Diego, Bellavista, Curiaco, Granada, La Concordia, El páramo, Paso Feo, y El Salado del municipio de Taminango Departamento de Nariño.;26/08/2019;NARINO
324;10;46;0;46;5;0;41;0;0;14;Agricola;1;AGRICOLA;Fortalecimiento a la producción integral y sostenible (ambiental, técnico, social y económicamente) de café, en asocio con aguacate como sombrío, aplicando buenas prácticas agrícolas, de cosecha y pos cosecha de acuerdo con estándares de calidad nacional, a 46 familias de municipio del tambo;27/11/2019;NARINO
20;100;46;0;46;15;0;31;0;0;21;Productivo-mejoramiento cultivo;1;AGRICOLA;"Fortalecer la productividad y competitividad de 46 cacaoteros de las asociaciones de ASOCOCADELCAT, ASOCOMMULCAT Y ASOPROCAP, del municipio de Tibú – Departamento de Norte de Santander. ;";12/10/2017;NORTE SANTANDER
285;15;69;0;69;3;0;66;0;0;10;Agricola;1;AGRICOLA;Fortalecimiento a la producción y comercialización del cultivo de fríjol variedad Zaragoza para 69 potenciales beneficiarios de la asociación de productores agropecuarios del corregimiento de Aspasica - La Playa de Bélen Norte de Santander.;16/07/2019;NORTE SANTANDER
252;15;54;0;54;8;0;46;0;0;8;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas y organizacionales mediante la implementación de un modelo agroforestal de cacao, plátano y forestales, beneficiando a cincuenta y cuatro (54) familias de la asociación ASOCACAO del municipio de la Esperanza, Norte de Santander.;16/07/2019;NORTE SANTANDER
278;15;39;0;39;7;0;32;0;0;27;Agricola;1;AGRICOLA;Implementación de estrategias y acciones dirigidas al fortalecimiento de los procesos productivos de plátano dominico hartón y aguacate Lorena en 39 potenciales beneficiarios de la Asociación de Desplazados asentados en las veredas de San Antonio y San Cayetano - ASODESANTOS del Municipio de Convención del departamento de Norte de Santander.;16/07/2019;NORTE SANTANDER
276;30;69;0;69;11;0;58;0;0;11;Agricola;1;AGRICOLA;Fortalecimiento del encadenamiento productivo y comercial de los cultivos de Fríjol, Mora, Cítricos, Aguacate y Maracuyá, de las asociaciones ASPIJAC, MORACAR y ACIFRUC, ubicadas en los municipios de Ocaña y Cáchira en el Departamento Norte de Santander.;26/08/2019;NORTE SANTANDER
106;30;234;0;234;115;0;119;0;0;47;Agricola;1;AGRICOLA;Fortalecimiento de los mercados campesinos del Departamento del Quindío;23/03/2018;QUINDIO
133;95;128;0;128;32;0;96;0;0;8;Agricola;1;AGRICOLA;Implementar ciento ventiocho (128) hectáreas de naranja tangelo minneola con sistema de fertirrigación por goteo, con cosecha de agua lluvia para pequeños productores de los municipios de Curití, Cabrera y Galán del departamento de Santander.;9/07/2018;SANTANDER
147;10;30;0;15;11;0;19;0;0;15;Agricola;1;AGRICOLA;Incrementar la producción de los cultivos de plátano asociados a café y las capacidades técnicas de 30 familias del municipio de Líbano en el Departamento de Tolima.;23/05/2018;TOLIMA
168;10;151;0;142;27;0;124;0;0;9;Agricola;1;AGRICOLA;Fortalecimiento de la cadena productiva del maíz en el distrito de riego del RUT mediante la instalación de una planta de secado y almacenamiento en silo que beneficia a familias de ASORUT en los Municipios de Roldanillo, La Unión y Toro del Departamento del Valle del Cauca;9/09/2019;VALLE DEL CAUCA
619;5;262;54;0;75;21;187;0;0;187;Agricola;1;AGRICOLA;"Establecimiento de un Sistema Agroforestal de Cacao Asociado con Bananito y Arboles Maderables para sombrío, y el Establecimiento del Cultivo de Coco, para beneficiar a 262 familias de los Consejos Comunitarios y Resguardos Indígenas, Ubicados en el distrito especial de Buenaventura - Departamento del Valle del Cauca.;";21/11/2019;VALLE DEL CAUCA
308;88.64;50;0;50;12;0;38;0;0;7;Agricola;1;AGRICOLA;Implementación de sistemas productivos en las comunidades indígenas de Quina Quina, Santa Helena Tiposo, Camutí y Nueva Reforma de la zona UDIC del departamento de Vaupés, municipio de Mitú.;1/08/2018;VAUPES
719;5;150;0;130;20;0;130;0;0;23;Agricola;1;AGRICOLA;Mejorar la producción agropecuaria, mediante la implementación de cultivos de cacao en asocio con plátano para las familias campesinas e indígenas de los municipios de Santa Rosalía y Primavera, departamento de Vichada.;10/12/2019;VICHADA
