Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
3613;M;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3615;F;NINGUNA;NO;BOLIVAR;13650;PUNTA DE HORNO;LA PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3617;F;NINGUNA;NO;BOLIVAR;13650;PUNTA DE HORNO;LA PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3618;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3620;M;NINGUNA;NO;BOLIVAR;13650;PUNTA DE HORNO;LA PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3621;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3622;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3628;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3630;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS PARCELAS;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3643;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
