BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
29,29,"Dotar a través de la construcción de un centro de acopio lechero equipado con dos tanques de frío de 1000 litros cada uno, a 22 pequeños y medianos productores de la Asociación de Ganaderos del Sector la Cooperativa AGACOOP, del municipio de Vista Hermosa Meta",META,VISTAHERMOSA,22,15,7,5,677924000,N/A,677924000,93828000,771752000,776,836,10/08/2018 12:00:00 AM,2017,N/A
30,30,"Implementar y fortalecer la cadena productiva de la Asociación Agropecuaria de productos alternativos del Cuembí - AGROPAL del corredor Puerto Vega - Teteye en el municipio de Puerto Asís, Departamento del Putumayo, mediante la implementación de 100 ha de arroz, adecuación de infraestructura y dotación de equipos",PUTUMAYO,PUERTO ASÍS,100,69,31,23,190833000,N/A,190833000,232601600,423434600,100,1255,07/13/2017 12:00:00 AM,2017,N/A
31,31,"Mejorar las capacidades productivas del cultivo de café y su proceso post cosecha, dirigido a la población indígena y campesina del municipio de Caldono - departamento del Cauca.",CAUCA,CALDONO,51,40,11,6,501204000,N/A,501204000,99735000,600939000,51,1438,10/06/2017 12:00:00 AM,2017,N/A
32,32,"Fortalecimiento de la actividad productiva porcícola, ubicada en diecisieta (17) municipios del departamento del Cauca, contribuyendo a la generación de ingresos económicos para doscientos noventa (290) familias del sector rural",CAUCA,"CALDONO, POPAYÁN, CAJIBIO, EL TAMBO, LA SIERRA, MORALES, PIENDAMÓ, SOTARÁ, TIMBÍO, BOLÍVAR, MERCADERES, PATÍA, SUAREZ, SILVIA, ROSAS, FLORENCIA, ARGELIA",290,117,173,84,1544000000,N/A,1544000000,333500000,1877500000,0,1468,10/17/2017 12:00:00 AM,2016,N/A
33,33,Fortalecer la cadena productiva de la caña panelera y la actividad de transformación de los productores paneleros ASOPADI del municipio de Ituango - Antioquia,ANTIOQUIA,ITUANGO,12,11,1,0,199200000,N/A,199200000,85226996,284426996,24,1251,07/12/2017 12:00:00 AM,2017,N/A
34,34,"Fortalecimiento del sistema productivo de pequeños caficultores mediante la dotación de maquinaria e insumos agrícolas para familias cafeteras de las veredas El Oso, La Unión, Puerto Limón, Alto Santo y Jordán del municipio de Planadas Tolima",TOLIMA,PLANADAS,104,75,29,27,480584000,N/A,480584000,295360000,775944000,104,1303,08/04/2017 12:00:00 AM,2017,N/A
36,36,"Fortalecimiento tecnológico y productivo de la cadena frutícola, en las veredas de la Fila, La Georgina, Balconcitos, La Laja, San José de Guatimbol y Alto de Icononzo, zona de influencia de la ZVTN de Icononzo Tolima",TOLIMA,ICONONZO,99,71,28,25,288986400,N/A,288986400,340244960,629231360,99,1490,10/30/2017 12:00:00 AM,2017,N/A
37,37,"Mejoramiento de las capacidades productivas de pequeños y medianos productores cacaoteros, pertenecientes a la Asociación productiva Bajo Guejar - ASPROBAGUEJAR, y a la Asociación de cacaoteros del Bajo Guaimaral mediante el establecimiento por beneficiario de 1 Ha de cacao en asocio con plátano, entrega de insumospara el establecimiento del cultivo y dotación de equipos para su sostenimiento",META,"VISTAHERMOSA, PUERTO RICO",23,14,9,8,252400000,N/A,252400000,61640000,314040000,24,1301,08/04/2017 12:00:00 AM,2017,N/A
38,38,Fortalecer la competitividad de pequeños y medianos productores de ganadería doble propósito de la vereda El Cedro mediante la implementación de dos tanques de frío de leche,CAQUETA,LA MONTAÑITA,21,11,10,0,125000000,N/A,125000000,33667500,158667500,410,1263,07/18/2017 12:00:00 AM,2017,N/A
39,39,"Producción de miel mediante la implementación de un proyecto apícola para ejecutar en la vereda Chibogadó Alto, ubicada cerca al punto transitorio de normalización, municipio de Tierralta, departamento de Córdoba",CORDOBA,TIERRALTA,41,34,7,19,164891998,N/A,164891998,30665320,195557318,5,1440,10/06/2017 12:00:00 AM,2017,N/A
