DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
NORTE DE SANTANDER,ABREGO,84,270480000,128860000,2015,CEBOLLA DE BULBO,TRANSITORIO,21.455,1.0,63,0
TOLIMA,LÍBANO,30,200000000,106200000,2017,CAFE,PERMANENTE,0.9529046563192901,0.8537188919852686,953,0
LA GUAJIRA,VILLANUEVA,24,70736980,29084667,2013,ARRACACHA,ANUAL,9.0,0.8947368421052632,576,0
NORTE DE SANTANDER,EL CARMEN,92,340032000,207270000,2014,PIMENTON,TRANSITORIO,20.0,1.0,215,0
CUNDINAMARCA,PACHO,32,94245000,43206000,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,604,2
NARIÃ‘O,PUPIALES,128,376663400,94800000,2013,HABA,TRANSITORIO,7.0,0.8,548,0
META,SAN JUAN DE ARAMA,32,118272000,14720000,2014,PLATANO,PERMANENTE,17.0,0.875,290,0
SUCRE,EL ROBLE,0,321885600,79191400,2012,PATILLA,TRANSITORIO,2.0,0.7555555555555555,788,0
CAUCA,CORINTO,0,487362000,67300580,2012,PLATANO,PERMANENTE,11.0,1.0,889,0
ANTIOQUIA,YARUMAL,30,496060000,78225000,2017,FRESA,PERMANENTE,30.813076923076927,0.8494863818537305,968,0
SANTANDER,"CURITÍ, CABRERA, JORDÁN, CEPITA, GALÁN",128,2000000000,391568000,2017,TANGELO,PERMANENTE,10.375,0.34659204750368844,944,1
ATLANTICO,PIOJO,48,0,0,2013,MANGO,PERMANENTE,3.7,0.1111111111111111,742,2
NARIÃ‘O,PASTO,56,190411,13041,2012,COLIFLOR,TRANSITORIO,17.0,1.0,807,0
BOLIVAR,EL CARMEN DE BOLIVAR,0,0,0,2013,PLATANO,PERMANENTE,10.0,0.75125,695,0
CAUCA,Guachené,4,12320000,3100000,2015,PLATANO,PERMANENTE,7.565630026809653,0.8248695945011795,994,0
MAGDALENA,SANTA ANA,20,61598000,27268750,2014,NARANJA,PERMANENTE,17.0,0.6470588235294118,309,2
CAUCA,CALOTO,12,27000000,14580200,2015,GUANABANA,PERMANENTE,20.0,0.3333333333333333,86,2
BOLIVAR,EL CARMEN DE BOLIVAR,16,68341511,19250000,2013,PLATANO,PERMANENTE,10.0,0.75125,729,0
TOLIMA,AMBALEMA,20,86674000,27650000,2013,MAIZ,TRANSITORIO,3.5,0.9428571428571428,516,0
MAGDALENA,SANTA ANA,72,221751000,96447500,2014,NARANJA,PERMANENTE,17.0,0.6470588235294118,310,2
PUTUMAYO,ORITO,80,235268000,154000000,2013,BANANITO,PERMANENTE,8.0,0.8181818181818182,536,0
VALLE DEL CAUCA,BUGALAGRANDE,24,88704000,46674000,2014,MARACUYA,PERMANENTE,14.0,1.0,136,0
CORDOBA,TIERRALTA,0,353620800,55335240,2012,MAIZ,TRANSITORIO,2.433333333333333,1.0,873,0
VALLE DEL CAUCA,TRUJILLO,16,56291900,33237800,2013,GUANABANA,PERMANENTE,22.0,0.3333333333333333,465,2
HUILA,LA PLATA,0,645235250,81225000,2012,AGUACATE,PERMANENTE,12.0,0.36507936507936506,847,2
NARIÃ‘O,GUACHUCAL,64,69000000,79100000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,261,0
VALLE DEL CAUCA,ARGELIA,12,35304500,30081000,2013,BANANO,PERMANENTE,30.0,0.8578199052132701,486,0
SUCRE,OVEJAS,36,133039775,26541500,2014,YUCA,ANUAL,10.0,0.6,168,0
